County,Total CPAD Acreage,"CPAD Acres per 1,000 Inh.",County Population
Alameda,476565,330,1515136
Alpine,474266,392604,1197
Amador,387827,11049,37764
Butte,1073263,5283,220101
Calaveras,662840,16345,45507
Colusa,740383,39374,21329
Contra Costa,481394,507,1052047
Del Norte,648861,23589,28496
El Dorado,1144947,7325,180441
Fresno,3850607,4817,930517
Glenn,849132,32100,28078
Humboldt,2293951,18131,134317
Imperial,2868458,20149,173487
Inyo,6546558,364812,18474
Kern,5221435,7892,839153
Kings,890800,6881,151982
Lake,850980,14594,64360
Lassen,3021450,89318,34628
Los Angeles,2611372,274,9840024
Madera,1377575,11190,150615
Marin,336285,1360,252759
Mariposa,935607,54618,18193
Mendocino,2247878,26058,87577
Merced,1261432,5991,256398
Modoc,2689712,284656,9545
Mono,2003703,155894,14181
Monterey,2121212,5280,416199
Napa,505857,4070,136644
Nevada,623852,6779,98521
Orange,508921,179,3021840
Placer,960108,3865,350074
Plumas,1672709,80326,19926
Riverside,4673122,3024,2192982
Sacramento,636078,520,1422348
San Benito,889408,16708,55467
San Bernardino,12867927,7528,2041029
San Diego,2712151,964,3100500
San Francisco,30238,39,807755
San Joaquin,912595,1619,687036
San Luis Obispo,2124267,8611,270121
San Mateo,290479,411,721183
Santa Barbara,1760915,4409,423594
Santa Clara,831659,494,1788393
Santa Cruz,285713,1118,262340
Shasta,2465233,15100,177693
Sierra,615316,173085,3163
Siskiyou,4062266,91697,44673
Solano,544111,1379,414209
Sonoma,1016737,2217,483456
Stanislaus,970173,2170,515115
Sutter,389436,4934,94615
Tehama,1892926,33779,63200
Trinity,2052766,157638,13693
Tulare,3099338,8422,441877
Tuolumne,1457657,26746,55205
Ventura,1189161,1579,822794
Yolo,653450,3874,200873
Yuba,411821,6839,72244
